voc_id,date,channel,type,store_code,store_name,sku_mentioned,to_team,sla_hours,response_hours,status,summary
VOC-20260423-0127,2026-04-23,전화,배송문의,,,,물류팀,4,3.0,완료,[배송문의] 추적 문의
VOC-20260423-0128,2026-04-23,자사몰_게시판,교환환불,,,,CE팀_교환,8,2.2,완료,[교환환불] 단순변심
VOC-20260423-0129,2026-04-23,자사몰_게시판,제품문의,,,FM001,CE팀_제품지식,6,,미회신,[제품문의] 피부타입 (마스크 오브 매그너민티)
VOC-20260423-0130,2026-04-23,인스타DM,매장문의,YD01,여의도IFC,,리테일본부,12,6.7,완료,[매장문의] 이벤트 일정 - 여의도IFC
VOC-20260424-0131,2026-04-24,자사몰_게시판,배송문의,,,,물류팀,4,1.8,완료,[배송문의] 배송 늦음
VOC-20260424-0132,2026-04-24,카카오톡,제품문의,,,FM002,CE팀_제품지식,6,2.7,완료,[제품문의] 사용법 (쿠퍼톤 페이스 마스크)
VOC-20260424-0133,2026-04-24,카카오톡,배송문의,,,,물류팀,4,7.9,지연완료,[배송문의] 배송 늦음
VOC-20260424-0134,2026-04-24,자사몰_게시판,칭찬,HD01,홍대,,VOC_리워드,24,40.7,지연완료,[칭찬] 직원응대 - 홍대
VOC-20260424-0135,2026-04-24,인스타DM,배송문의,,,,물류팀,4,2.7,완료,[배송문의] 오배송
VOC-20260424-0136,2026-04-24,인스타DM,칭찬,YD01,여의도IFC,SB001,VOC_리워드,24,1.9,완료,[칭찬] 제품만족 - 여의도IFC (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260424-0137,2026-04-24,채널톡,배송문의,,,,물류팀,4,1.2,완료,[배송문의] 추적 문의
VOC-20260424-0138,2026-04-24,전화,교환환불,,,HR001,CE팀_교환,8,14.6,지연완료,[교환환불] 하자 (헨 헤어 헤나 카라멜)
VOC-20260424-0139,2026-04-24,자사몰_게시판,교환환불,,,BD003,CE팀_교환,8,13.0,지연완료,[교환환불] 단순변심 (샌드 비누)
VOC-20260424-0140,2026-04-24,인스타DM,불만,BS01,신세계센텀,,CE팀_매장,6,4.2,완료,[불만] 직원불친절 - 신세계센텀
VOC-20260424-0141,2026-04-24,카카오톡,교환환불,,,,CE팀_교환,8,12.2,지연완료,[교환환불] 단순변심
VOC-20260424-0142,2026-04-24,자사몰_게시판,제품문의,,,BD002,CE팀_제품지식,6,1.6,완료,[제품문의] 피부타입 (락 스타 솝)
VOC-20260424-0143,2026-04-24,자사몰_게시판,교환환불,,,FM001,CE팀_교환,8,6.7,완료,[교환환불] 하자 (마스크 오브 매그너민티)
VOC-20260424-0144,2026-04-24,인스타DM,제품문의,,,MB002,CE팀_제품지식,6,8.9,지연완료,[제품문의] 피부타입 (더 컴포터 마사지바)
VOC-20260424-0145,2026-04-24,전화,교환환불,,,,CE팀_교환,8,4.3,완료,[교환환불] 단순변심
VOC-20260424-0146,2026-04-24,카카오톡,불만,CE01,코엑스,,CE팀_매장,6,4.2,완료,[불만] 직원불친절 - 코엑스
VOC-20260424-0147,2026-04-24,전화,배송문의,,,,물류팀,4,1.8,완료,[배송문의] 배송 늦음
VOC-20260424-0148,2026-04-24,인스타DM,제품문의,,,,CE팀_제품지식,6,12.0,지연완료,[제품문의] 성분
VOC-20260424-0149,2026-04-24,인스타DM,매장문의,HN01,스타필드하남,,리테일본부,12,2.2,완료,[매장문의] 재고 - 스타필드하남
VOC-20260424-0150,2026-04-24,카카오톡,매장문의,BS01,신세계센텀,,리테일본부,12,8.4,완료,[매장문의] 재고 - 신세계센텀
VOC-20260424-0151,2026-04-24,인스타DM,매장문의,YD01,여의도IFC,,리테일본부,12,6.5,완료,[매장문의] 재고 - 여의도IFC
VOC-20260424-0152,2026-04-24,인스타DM,교환환불,,,SB001,CE팀_교환,8,2.2,완료,[교환환불] 사이즈 (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260424-0153,2026-04-24,자사몰_게시판,교환환불,,,GS003,CE팀_교환,8,5.5,완료,[교환환불] 사이즈 (기프트 세트 - 어머니날 한정)
VOC-20260424-0154,2026-04-24,채널톡,제품문의,,,FM002,CE팀_제품지식,6,5.3,완료,[제품문의] 피부타입 (쿠퍼톤 페이스 마스크)
VOC-20260424-0155,2026-04-24,자사몰_게시판,제품문의,,,BB003,CE팀_제품지식,6,2.0,완료,[제품문의] 피부타입 (더 익스피리먼터 배쓰밤)
VOC-20260424-0156,2026-04-24,인스타DM,배송문의,,,,물류팀,4,0.8,완료,[배송문의] 배송 늦음
VOC-20260424-0157,2026-04-24,전화,교환환불,,,SB001,CE팀_교환,8,3.8,완료,[교환환불] 단순변심 (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260424-0158,2026-04-24,카카오톡,제품문의,,,BB002,CE팀_제품지식,6,0.6,완료,[제품문의] 사용법 (트와일라잇 배쓰밤)
VOC-20260424-0159,2026-04-24,채널톡,교환환불,,,MB001,CE팀_교환,8,7.1,완료,[교환환불] 하자 (씬티앙 마사지바)
VOC-20260424-0160,2026-04-24,인스타DM,불만,HD01,홍대,,CE팀_매장,6,1.6,완료,[불만] 직원불친절 - 홍대
VOC-20260424-0161,2026-04-24,카카오톡,배송문의,,,,물류팀,4,2.0,완료,[배송문의] 배송 늦음
VOC-20260424-0162,2026-04-24,자사몰_게시판,제품문의,,,BB005,CE팀_제품지식,6,12.3,지연완료,[제품문의] 사용법 (어머 사쿠라 배쓰밤)
VOC-20260424-0163,2026-04-24,채널톡,배송문의,,,,물류팀,4,3.1,완료,[배송문의] 오배송
VOC-20260424-0164,2026-04-24,인스타DM,제품문의,,,,CE팀_제품지식,6,2.5,완료,[제품문의] 성분
VOC-20260424-0165,2026-04-24,카카오톡,칭찬,JS01,잠실롯데,LP001,VOC_리워드,24,20.5,완료,[칭찬] 제품만족 - 잠실롯데 (립 스크럽 바블검)
VOC-20260424-0166,2026-04-24,전화,칭찬,MD01,명동본점,HR002,VOC_리워드,24,6.1,완료,[칭찬] 직원응대 - 명동본점 (프로 컨디셔너 바 에이브리 후이)
VOC-20260424-0167,2026-04-24,인스타DM,포장오류,,,,물류팀,4,8.9,지연완료,[포장오류] 찌그러짐
VOC-20260424-0168,2026-04-24,자사몰_게시판,교환환불,,,BB003,CE팀_교환,8,14.3,지연완료,[교환환불] 단순변심 (더 익스피리먼터 배쓰밤)
VOC-20260424-0169,2026-04-24,인스타DM,제품문의,,,SB001,CE팀_제품지식,6,1.6,완료,[제품문의] 성분 (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260424-0170,2026-04-24,자사몰_게시판,매장문의,HD01,홍대,,리테일본부,12,4.3,완료,[매장문의] 이벤트 일정 - 홍대
VOC-20260424-0171,2026-04-24,채널톡,포장오류,,,,물류팀,4,2.0,완료,[포장오류] 찌그러짐
VOC-20260424-0172,2026-04-24,자사몰_게시판,제품문의,,,BD001,CE팀_제품지식,6,1.7,완료,[제품문의] 사용법 (샤워젤리 위치 어메이징)
VOC-20260424-0173,2026-04-24,인스타DM,교환환불,,,HR002,CE팀_교환,8,1.9,완료,[교환환불] 단순변심 (프로 컨디셔너 바 에이브리 후이)
VOC-20260424-0174,2026-04-24,인스타DM,교환환불,,,,CE팀_교환,8,2.9,완료,[교환환불] 사이즈
VOC-20260424-0175,2026-04-24,자사몰_게시판,칭찬,PG01,현대판교,,VOC_리워드,24,2.5,완료,[칭찬] 제품만족 - 현대판교
VOC-20260424-0176,2026-04-24,자사몰_게시판,매장문의,DG01,현대대구,,리테일본부,12,9.2,완료,[매장문의] 매장위치 - 현대대구
VOC-20260424-0177,2026-04-24,카카오톡,교환환불,,,FM003,CE팀_교환,8,4.0,완료,[교환환불] 사이즈 (캐치 어 스타 페이스 마스크)
VOC-20260424-0178,2026-04-24,인스타DM,배송문의,,,,물류팀,4,2.2,완료,[배송문의] 오배송
VOC-20260424-0179,2026-04-24,카카오톡,배송문의,,,,물류팀,4,2.9,완료,[배송문의] 추적 문의
VOC-20260424-0180,2026-04-24,카카오톡,불만,CE01,코엑스,,CE팀_매장,6,8.8,지연완료,[불만] 직원불친절 - 코엑스
VOC-20260424-0181,2026-04-24,채널톡,교환환불,,,SB003,CE팀_교환,8,7.1,완료,[교환환불] 하자 (재스민 앤 헤나 풀룬덤 샴푸바)
VOC-20260424-0182,2026-04-24,전화,교환환불,,,,CE팀_교환,8,3.1,완료,[교환환불] 사이즈
VOC-20260424-0183,2026-04-24,자사몰_게시판,배송문의,,,,물류팀,4,2.0,완료,[배송문의] 추적 문의
VOC-20260424-0184,2026-04-24,카카오톡,포장오류,,,,물류팀,4,2.2,완료,[포장오류] 구성품 누락
VOC-20260424-0185,2026-04-24,인스타DM,포장오류,,,,물류팀,4,0.6,완료,[포장오류] 누액
VOC-20260425-0186,2026-04-25,카카오톡,제품문의,,,BB002,CE팀_제품지식,6,1.8,완료,[제품문의] 피부타입 (트와일라잇 배쓰밤)
VOC-20260425-0187,2026-04-25,카카오톡,교환환불,,,FM002,CE팀_교환,8,3.6,완료,[교환환불] 하자 (쿠퍼톤 페이스 마스크)
VOC-20260425-0188,2026-04-25,카카오톡,매장문의,GN01,강남신세계,,리테일본부,12,2.0,완료,[매장문의] 매장위치 - 강남신세계
VOC-20260425-0189,2026-04-25,전화,칭찬,PG01,현대판교,,VOC_리워드,24,17.8,완료,[칭찬] 제품만족 - 현대판교
VOC-20260425-0190,2026-04-25,채널톡,교환환불,,,MB003,CE팀_교환,8,5.9,완료,[교환환불] 하자 (마사지바 틴 케이스)
VOC-20260425-0191,2026-04-25,전화,제품문의,,,FM003,CE팀_제품지식,6,4.0,완료,[제품문의] 피부타입 (캐치 어 스타 페이스 마스크)
